add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0002,0.01,3,cuda:3,0.55340,0.43837
50,0.001,0.0002,0.01,3,cuda:3,0.13592,0.06183
50,0.001,0.0002,0.01,4,cuda:0,0.91262,1.35897
50,0.001,0.0002,0.01,4,cuda:0,0.38835,0.35101
50,0.001,0.0002,0.01,4,cuda:0,0.07767,0.02335
50,0.001,0.0002,0.01,5,cuda:1,0.85437,1.11310
50,0.001,0.0002,0.01,5,cuda:1,0.43689,0.32221
50,0.001,0.0002,0.01,5,cuda:1,0.13592,0.05420
50,0.001,0.0002,0.01,6,cuda:2,0.93204,1.41947
50,0.001,0.0002,0.01,6,cuda:2,0.50485,0.38527
50,0.001,0.0002,0.01,6,cuda:2,0.16505,0.06295
50,0.001,0.0002,0.01,7,cuda:3,0.87379,1.12246
50,0.001,0.0002,0.01,7,cuda:3,0.48544,0.35067
50,0.001,0.0002,0.01,7,cuda:3,0.05825,0.04570
50,0.001,0.0002,0.01,8,cuda:0,0.92233,1.37760
50,0.001,0.0002,0.01,8,cuda:0,0.53398,0.43427
50,0.001,0.0002,0.01,8,cuda:0,0.10680,0.06375
50,0.001,0.0002,0.01,9,cuda:1,0.95146,1.46381
50,0.001,0.0002,0.01,9,cuda:1,0.54369,0.41938
50,0.001,0.0002,0.01,9,cuda:1,0.08738,0.05270
50,0.001,0.0002,0.002,1,cuda:3,0.82524,1.05422
50,0.001,0.0002,0.002,1,cuda:3,0.63107,0.52416
50,0.001,0.0002,0.002,1,cuda:3,0.19417,0.13564
50,0.001,0.0002,0.002,0,cuda:2,0.92233,1.29501
50,0.001,0.0002,0.002,0,cuda:2,0.56311,0.47070
50,0.001,0.0002,0.002,0,cuda:2,0.14563,0.05637
50,0.001,0.0002,0.002,4,cuda:2,0.92233,1.27059
50,0.001,0.0002,0.002,4,cuda:2,0.52427,0.42542
50,0.001,0.0002,0.002,4,cuda:2,0.08738,0.05551
